,combinatory,Stat_ttest,p_ttest,df_ttest,Stat_wctest,p_wctest,Stat_kstest,p_kstest,Stat_mutest,p_mutest,index_ttest,index_wctest,index_kstest,index_mutest
1943,"(29, 30)",9.024071253655196,1.2362605509579069e-15,140.49376096349332,233.0,7.361246568242324e-14,0.4946236559139785,2.6282282197393783e-10,7245.5,1.7805998336714275e-15,0,0,0,0
1944,"(29, 31)",8.07150856119146,3.0597130622681295e-13,137.90226205865986,300.5,5.096560649974283e-13,0.4408602150537634,2.8251433517916567e-08,6769.5,2.7553702152683847e-11,0,0,0,0
1945,"(29, 32)",-0.6677368641064465,0.5052195757272947,167.67790923717664,1832.0,0.17557791683711765,0.27956989247311825,0.0013938716778410364,3710.0,0.09441036575751394,1,1,0,1
1946,"(29, 33)",-1.1925245829053988,0.23470521425505456,171.26669151129954,1696.0,0.060707708776755694,0.30107526881720426,0.0004363960539464239,3552.5,0.03558864036168189,1,1,0,0
1947,"(29, 34)",-41.99381595847748,4.62715581580215e-91,168.16220163081636,0.0,5.570147644434668e-17,0.989247311827957,5.9643388557606645e-40,1.0,5.208373359804846e-32,0,0,0,0
1948,"(29, 35)",-23.121373247682396,1.2107608978132862e-49,139.94471674096133,0.0,5.568331026009165e-17,0.967741935483871,2.988006733509631e-38,22.0,1.0235027761914698e-31,0,0,0,0
1949,"(29, 36)",-40.65442426035299,1.0794192397892538e-91,176.96562819877104,0.0,5.569057606246827e-17,1.0,8.159117334355236e-41,0.0,5.029664924780475e-32,0,0,0,0
1950,"(29, 37)",-2.5338407737582345,0.012646405131627207,113.44756616040121,1326.5,0.0009969250085467042,0.5161290322580645,3.481243839633821e-11,2924.0,0.00013691854509791053,0,0,0,0
1951,"(29, 38)",10.143211544084462,8.722514546040595e-19,152.02255493736888,123.5,2.770465556238819e-15,0.5913978494623656,1.495494261715607e-14,7560.5,1.2134451827956288e-18,0,0,0,0
1952,"(29, 39)",-18.265544728929417,1.2342991847581389e-42,177.6223295702478,8.0,7.218805577140439e-17,0.8602150537634409,2.594764261934124e-30,356.5,3.1778734870500402e-27,0,0,0,0
1953,"(29, 40)",-20.144902454450804,1.9786941880640324e-46,165.86914269322875,0.0,5.567967769452712e-17,0.8709677419354839,4.594674735108977e-31,302.0,6.231417089212983e-28,0,0,0,0
1954,"(29, 41)",9.835605825739243,2.6132561781459034e-18,167.74818824291887,154.5,7.132939397941161e-15,0.5376344086021505,4.231040172025421e-12,7204.5,4.370035753991161e-15,0,0,0,0
1955,"(29, 42)",10.970578269629106,9.395389887380539e-22,179.3301474619873,204.0,3.141186330660376e-14,0.6666666666666666,2.2397080467932757e-18,7562.5,1.156267851841547e-18,0,0,0,0
1956,"(29, 43)",7.0052071368237705,4.987826369270888e-11,176.58831493301923,489.5,8.115926895363459e-11,0.40860215053763443,3.6123593234983587e-07,6333.0,4.503236708472544e-08,0,0,0,0
1957,"(29, 44)",-13.527947160842967,2.1445176470820538e-29,183.99473325720191,129.0,3.2812809008712347e-15,0.7311827956989247,5.101778063656103e-22,777.0,4.371987991320109e-22,0,0,0,0
1958,"(29, 45)",-16.918556472602184,2.538344122992442e-38,170.48461244130104,11.0,7.957620566169901e-17,0.8602150537634409,2.594764261934124e-30,425.0,2.3864202278974237e-26,0,0,0,0
1959,"(29, 46)",-28.026551426595162,1.8066488149133248e-53,115.96960526087967,0.0,5.570511035257526e-17,1.0,8.159117334355236e-41,0.0,5.039832877352776e-32,0,0,0,0
1960,"(29, 47)",-12.891466349281968,6.042420004184285e-27,169.60814979850178,100.0,1.3399918529794832e-15,0.6989247311827957,3.72378831205029e-20,733.5,1.363935076768004e-22,0,0,0,0
1961,"(29, 48)",-15.174732591782274,2.9566631840291297e-34,183.94184823186313,25.0,1.249521429773235e-16,0.7956989247311828,5.358259318339822e-26,485.0,1.3558994952697837e-25,0,0,0,0
1962,"(29, 49)",-17.36712806447031,1.709687824257826e-36,137.59752458989078,28.5,1.3990240016342506e-16,0.8387096774193549,7.75827517850106e-29,461.5,6.868441247381244e-26,0,0,0,0
1963,"(29, 50)",-5.331755317392173,2.905046271372599e-07,179.04832793224753,696.0,1.14853156864361e-08,0.41935483870967744,1.5783880769922803e-07,2294.5,3.230136579176269e-08,0,0,0,0
1964,"(29, 51)",9.722655030718453,1.1204144070837503e-17,152.11933281356357,141.5,4.8047280330428564e-15,0.5806451612903226,4.82832575404353e-14,7379.0,8.862199664290933e-17,0,0,0,0
1965,"(29, 52)",-2.9597510173033985,0.0035289025846222287,166.2459315719666,1258.5,0.00038235580506155536,0.3870967741935484,1.7738882125512227e-06,2796.5,3.169359912429005e-05,0,0,0,0
1966,"(29, 53)",-7.49662551077362,1.4183599680887208e-11,116.10138531067678,560.5,4.770942284541838e-10,0.6236559139784946,3.90581183398826e-16,1748.0,2.262456884880372e-12,0,0,0,0
1967,"(29, 54)",-7.991055320347982,1.6425127694525068e-13,177.37031011366435,537.0,2.676277550073671e-10,0.5268817204301076,1.2267628888323056e-11,1601.5,1.2054961272522388e-13,0,0,0,0
1968,"(29, 55)",-18.876002406460703,2.609736025231763e-44,177.58396862795584,5.5,6.660030703062586e-17,0.8709677419354839,4.594674735108977e-31,337.0,1.7768976608012796e-27,0,0,0,0
1969,"(29, 56)",-7.998674014786853,1.555843180645502e-13,177.76571903609587,541.5,2.9914624744479886e-10,0.5268817204301076,1.2267628888323056e-11,1601.0,1.1930744099459498e-13,0,0,0,0
1970,"(29, 57)",-20.64645463691771,4.069949853664976e-46,153.25366749505795,6.0,6.768964009536626e-17,0.8709677419354839,4.594674735108977e-31,199.5,2.7451947827246525e-29,0,0,0,0
1971,"(29, 58)",9.236195852085372,7.637183217007846e-17,177.94739156653418,274.5,2.4388597152008406e-13,0.6559139784946236,8.40583549364951e-18,7484.5,7.521820749761673e-18,0,0,0,0
1972,"(29, 59)",-3.987472604114228,0.00010321117283159674,152.82094218340242,983.5,4.111267233481819e-06,0.40860215053763443,3.6123593234983587e-07,2530.5,1.0302906835989534e-06,0,0,0,0
1973,"(29, 60)",-14.846948821912276,5.25666591102521e-30,132.90860272768546,75.0,6.131219592417769e-16,0.7741935483870968,1.2376988984255102e-24,657.5,1.725465882207e-23,0,0,0,0
1974,"(29, 61)",-12.174798093855081,4.298733487869153e-25,174.91130855234198,93.0,1.077135267767891e-15,0.6559139784946237,8.405835493649392e-18,935.0,2.6688228334454053e-20,0,0,0,0
1975,"(29, 62)",9.826629603812604,2.1680830261104804e-18,173.19641739679503,121.5,2.6038069911342137e-15,0.5913978494623656,1.495494261715607e-14,7338.5,2.2347203454583635e-16,0,0,0,0
1976,"(29, 63)",-14.638447148551158,6.44698320681417e-27,103.04947810685627,23.0,1.1726738474561532e-16,0.8709677419354839,4.594674735108977e-31,169.0,1.0687756384210588e-29,0,0,0,0
1977,"(29, 64)",-10.181066685693837,2.3764666993395815e-19,172.00254149262804,223.5,5.5758503525139326e-14,0.6236559139784946,3.90581183398826e-16,1202.5,1.8456043167802452e-17,0,0,0,0
1978,"(29, 65)",-36.13408616247879,2.65958191994155e-82,172.20641821218683,0.0,5.566878134017574e-17,0.978494623655914,4.267187967340601e-39,11.0,7.18530941609062e-32,0,0,0,0
1979,"(29, 66)",1.6113886331622989,0.10984057595699732,114.82207790596516,1942.5,0.3517981667443707,0.33333333333333337,6.506094234534011e-05,4045.5,0.4480154127966427,1,1,0,1
1980,"(29, 67)",4.253744112806576,4.081962352873437e-05,125.08586869710324,1141.0,6.275467451685917e-05,0.34408602150537637,3.304614937233448e-05,5316.5,0.006915364470348735,0,0,0,0
1981,"(29, 68)",4.272302017523595,3.793488890172935e-05,125.24689829683336,1136.5,5.834002645203829e-05,0.34408602150537637,3.304614937233448e-05,5335.5,0.005911489968037559,0,0,0,0
1982,"(29, 69)",-20.253901146219416,1.1662254971089884e-46,165.46301668134777,3.0,6.139970126996942e-17,0.8709677419354839,4.594674735108977e-31,305.5,6.922730842554568e-28,0,0,0,0
1983,"(29, 70)",-39.99633161811773,2.546850965043806e-90,176.18030065707066,0.0,5.567241323458242e-17,0.978494623655914,4.267187967340601e-39,2.5,5.468348246826692e-32,0,0,0,0
1984,"(29, 71)",-1.6551983202529035,0.09968231573633832,174.4357731477043,1593.0,0.02319176685944344,0.32258064516129037,0.00012536611591669995,3367.5,0.009173798918708067,1,0,0,0
1985,"(29, 72)",-14.769861951226208,4.9027625632144427e-32,165.61863640735234,39.5,1.9906389463507619e-16,0.8064516129032258,1.0794899171829607e-26,617.5,5.730303278130535e-24,0,0,0,0
1986,"(29, 73)",-15.450103553098876,3.355059318856201e-34,169.9009583220727,29.0,1.4211282821528894e-16,0.7526881720430108,2.623297925526856e-23,593.0,2.8935683637249137e-24,0,0,0,0
1987,"(29, 74)",-4.2483311991456185,3.421240290452261e-05,183.4276362759886,1159.5,8.448727192344374e-05,0.3548387096774194,1.6427887026265655e-05,2680.5,7.570864366808707e-06,0,0,0,0
1988,"(29, 75)",-25.350539722583054,5.855880679134276e-55,144.01810400202726,0.0,5.569057606246827e-17,0.978494623655914,4.267187967340601e-39,6.0,6.118054488517163e-32,0,0,0,0
1989,"(29, 76)",-6.962612034589063,1.619252215297494e-10,126.45837723302076,673.0,6.817499691415597e-09,0.6021505376344086,4.533496372475111e-15,1851.0,1.6218139352214295e-11,0,0,0,0
1990,"(29, 77)",-6.673775118437491,4.752930902515124e-10,147.0092255399616,693.5,1.08545207813672e-08,0.5698924731182796,1.5256984637378947e-13,1955.0,1.0940730724725933e-10,0,0,0,0
1991,"(29, 78)",-13.451260098411668,6.757598702340489e-29,177.62199645963162,88.0,9.2184237392512e-16,0.7849462365591398,2.6030900929026115e-25,546.0,7.700023167310566e-25,0,0,0,0
1992,"(29, 79)",-31.36445424016465,2.0407217880628258e-66,144.71520957097047,0.0,5.567241323458242e-17,0.978494623655914,4.267187967340601e-39,3.0,5.541470821325539e-32,0,0,0,0
1993,"(29, 80)",-10.193050633273925,2.6516420092655732e-18,130.38934865997402,128.5,3.2319117842532806e-15,0.6236559139784946,3.90581183398826e-16,1018.5,2.1747840118047663e-19,0,0,0,0
1994,"(29, 81)",-5.260218139948806,4.4033514715340255e-07,165.41699514477378,702.0,1.3137820674026475e-08,0.4516129032258064,1.1572956985050745e-08,2261.5,1.9285423009532194e-08,0,0,0,0
